docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
000-000-1462632232;000-000;105-105;985;035-105;878;105-140;847;971
000-000-1462632233;000-000;105-105;1064;105-140;850;035-140;761;935
000-000-1462632234;000-000;070-105;1176;105-105;949;105-070;883;976
000-000-1462632235;000-000;105-070;1019;070-105;938;105-105;876;776
000-000-1462632236;000-000;105-070;1005;105-105;877;140-070;787;701
000-000-1462632237;000-000;105-105;822;140-070;770;035-105;662;852
000-000-1462632238;000-000;105-105;999;140-070;906;105-140;755;925
000-000-1462632239;000-000;140-070;1052;105-105;826;140-035;659;759
000-000-1462632240;000-000;140-070;1100;105-105;780;140-035;666;828
000-000-1462632241;000-000;105-105;1041;140-070;841;105-070;656;809
000-000-1462632242;000-000;105-105;960;140-070;750;105-035;679;775
000-000-1462632243;000-000;105-105;1095;140-070;674;105-070;651;779
000-000-1462632244;000-000;105-070;1154;105-105;741;105-035;722;671
000-000-1462632245;000-000;105-105;1128;105-070;702;140-035;698;703
000-000-1462632246;000-000;105-070;1045;105-105;885;105-000;694;778
000-000-1462632247;000-000;105-105;831;070-105;772;105-035;705;670
000-000-1462632248;000-000;105-035;993;105-105;740;070-035;692;706
000-000-1462632249;000-000;105-035;1135;105-105;875;140-000;709;889
000-000-1462632250;000-000;105-035;959;140-000;789;035-000;773;806
000-000-1462632251;000-000;140-000;779;105-000;699;105-035;673;808
000-000-1462632252;000-000;105-035;890;140-000;759;105-000;734;732
000-000-1462632253;000-000;105-035;975;140-000;894;105-000;721;762
000-000-1462632254;000-000;105-105;864;070-035;725;140-035;700;669
000-000-1462632255;000-000;070-035;783;105-105;703;140-035;663;604
000-000-1462632256;000-000;070-035;832;105-000;654;140-035;643;566
000-000-1462632257;000-000;140-035;898;105-000;688;140-105;605;504
000-000-1462632258;000-000;105-000;745;105-105;665;140-035;656;667
000-000-1462632259;000-000;105-000;802;140-035;697;070-035;668;413
000-000-1462632260;000-000;140-035;870;105-000;651;140-105;599;505
000-000-1462632261;000-000;105-000;804;140-035;800;105-035;728;468
000-000-1462632262;000-000;140-035;805;140-105;700;105-000;694;506
000-000-1462632263;000-000;140-035;769;140-105;728;105-035;705;503
000-000-1462632264;000-000;105-035;679;105-000;674;140-035;644;445
000-000-1462632265;000-000;140-035;815;105-000;727;140-105;675;473
000-000-1462632266;000-000;140-105;773;105-000;726;140-035;706;563
000-000-1462632267;000-000;140-000;765;140-035;732;105-000;727;560
000-000-1462632268;000-000;140-035;900;105-000;769;140-000;668;500
000-000-1462632269;000-000;140-035;870;105-070;819;105-000;672;441
000-000-1462632270;000-000;140-035;795;105-000;691;053-105;673;475
000-000-1462632271;000-000;140-035;743;105-000;736;140-105;722;502
000-000-1462632272;000-000;140-035;775;105-000;744;140-000;627;534
000-000-1462632273;000-000;140-035;851;105-000;663;140-105;594;537
000-000-1462632274;000-000;105-105;853;140-035;718;140-105;643;670
000-000-1462632275;000-000;140-035;774;105-105;703;105-000;702;600
000-000-1462632276;000-000;105-035;927;070-035;770;140-035;720;631
000-000-1462632277;000-000;140-035;895;105-000;714;105-035;709;471
000-000-1462632278;000-000;105-035;847;140-035;730;140-105;683;505
000-000-1462632279;000-000;105-000;762;140-035;691;140-000;661;598
000-000-1462632280;000-000;035-000;1144;105-035;888;070-035;782;629
000-000-1462632281;000-000;035-000;799;105-035;713;070-035;705;697
000-000-1462632282;000-000;070-035;759;105-000;686;105-105;675;635
000-000-1462632283;000-000;035-000;902;070-035;835;105-035;791;597
000-000-1462632284;000-000;105-000;761;070-035;718;105-035;689;700
000-000-1462632285;000-000;105-035;868;070-035;857;105-000;726;535
000-000-1462632286;000-000;070-035;757;105-000;743;105-035;711;664
000-000-1462632287;000-000;070-035;893;105-000;808;035-000;666;559
000-000-1462632288;000-000;070-035;933;105-000;721;140-035;661;500
000-000-1462632289;000-000;070-035;819;105-000;707;140-035;605;505
000-000-1462632290;000-000;070-035;819;105-000;691;105-035;625;567
000-000-1462632291;000-000;070-035;895;105-000;734;105-035;660;536
000-000-1462632292;000-000;070-035;833;105-035;769;105-000;706;599
000-000-1462632293;000-000;105-000;775;140-000;654;070-035;648;500
000-000-1462632294;000-000;105-035;779;105-000;697;140-105;607;600
000-000-1462632295;000-000;105-035;844;070-035;790;105-000;675;632
000-000-1462632296;000-000;070-035;844;105-000;757;105-035;637;568
000-000-1462632297;000-000;105-000;786;140-000;644;105-035;638;565
000-000-1462632298;000-000;070-035;876;000-035;758;105-000;753;528
000-000-1462632299;000-000;105-035;1053;035-035;843;070-035;744;498
000-000-1462632300;000-000;070-035;898;105-035;767;105-000;735;532
