docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
000-000-1462632176;000-000;105-105;981;105-140;858;140-070;813;930
000-000-1462632177;000-000;105-105;1002;105-140;756;140-070;741;931
000-000-1462632178;000-000;105-105;928;140-070;894;140-140;767;962
000-000-1462632179;000-000;105-070;963;070-105;896;140-070;864;1137
000-000-1462632180;000-000;105-070;956;105-105;881;140-070;869;1052
000-000-1462632181;000-000;105-105;913;140-070;875;105-140;833;1009
000-000-1462632182;000-000;105-070;1011;105-105;919;070-105;904;972
000-000-1462632183;000-000;105-070;1120;070-105;999;105-105;967;818
000-000-1462632184;000-000;105-070;995;105-105;976;105-140;824;895
000-000-1462632185;000-000;105-070;895;105-105;799;105-140;793;770
000-000-1462632186;000-000;070-105;1012;105-105;929;105-070;822;819
000-000-1462632187;000-000;070-105;1191;105-070;1017;000-105;971;1017
000-000-1462632188;000-000;105-070;976;000-105;889;070-105;804;973
000-000-1462632189;000-000;105-140;888;105-105;839;140-070;763;852
000-000-1462632190;000-000;105-140;873;105-105;856;140-070;692;852
000-000-1462632191;000-000;070-105;1266;105-070;988;105-105;965;980
000-000-1462632192;000-000;105-105;1016;070-105;936;105-140;758;980
000-000-1462632193;000-000;070-105;973;105-140;889;035-140;648;819
000-000-1462632194;000-000;035-140;1290;000-105;1127;105-105;784;1018
000-000-1462632195;000-000;035-140;1246;000-105;1084;035-070;836;1056
000-000-1462632196;000-000;035-105;1316;035-140;993;000-105;931;891
000-000-1462632197;000-000;000-105;1056;035-105;828;035-070;765;891
000-000-1462632198;000-000;035-105;870;035-070;796;000-105;793;852
000-000-1462632199;000-000;035-140;1011;000-105;990;035-105;774;969
000-000-1462632200;000-000;000-105;1064;035-140;916;035-105;839;851
000-000-1462632201;000-000;035-140;1070;035-105;903;035-070;797;810
000-000-1462632202;000-000;035-140;1313;035-105;1273;000-105;998;964
000-000-1462632203;000-000;035-140;1551;035-070;978;000-105;728;765
000-000-1462632204;000-000;035-105;1203;035-140;1067;000-105;842;812
000-000-1462632205;000-000;035-140;1031;000-140;816;000-105;777;803
000-000-1462632206;000-000;035-140;1199;000-105;1130;000-140;786;845
000-000-1462632207;000-000;035-140;1257;000-105;929;000-140;849;1048
000-000-1462632208;000-000;035-140;1073;035-105;911;000-105;855;965
000-000-1462632209;000-000;000-105;965;000-140;887;035-140;783;880
000-000-1462632210;000-000;035-140;1223;000-140;821;000-105;752;1084
000-000-1462632211;000-000;035-140;1219;035-105;1101;000-105;974;1093
000-000-1462632212;000-000;035-140;1289;035-105;1051;000-105;865;965
000-000-1462632213;000-000;000-105;872;035-140;810;000-140;681;970
000-000-1462632214;000-000;035-140;1193;000-105;677;105-000;655;814
000-000-1462632215;000-000;035-140;1261;035-105;793;105-105;729;974
000-000-1462632216;000-000;035-140;1490;000-105;666;035-105;650;816
000-000-1462632217;000-000;035-140;1259;105-070;643;035-070;636;814
000-000-1462632218;000-000;035-140;1308;070-140;760;035-035;640;883
000-000-1462632219;000-000;105-105;922;035-140;877;070-140;836;955
000-000-1462632220;000-000;035-140;1173;070-105;1141;070-140;886;1032
000-000-1462632221;000-000;035-140;1142;070-140;780;070-105;685;883
000-000-1462632222;000-000;035-140;1456;070-105;1129;105-070;776;1062
000-000-1462632223;000-000;035-140;1311;105-105;960;105-140;811;1016
000-000-1462632224;000-000;105-140;963;105-105;959;035-070;653;778
000-000-1462632225;000-000;105-070;995;105-140;920;105-105;826;854
000-000-1462632226;000-000;105-140;941;105-105;909;140-070;694;775
000-000-1462632227;000-000;105-105;980;105-140;844;140-070;748;928
000-000-1462632228;000-000;105-070;905;105-105;903;140-140;872;1092
000-000-1462632229;000-000;105-070;962;140-140;876;105-105;772;841
000-000-1462632230;000-000;105-070;974;105-105;907;140-140;854;1095
000-000-1462632231;000-000;035-105;987;105-105;904;105-070;902;1097
000-000-1462632232;000-000;105-105;943;105-140;847;035-140;755;971
000-000-1462632233;000-000;105-105;1025;105-140;853;035-140;726;935
000-000-1462632234;000-000;070-105;1134;105-070;965;105-105;913;976
000-000-1462632235;000-000;105-070;1089;070-105;878;105-105;867;776
000-000-1462632236;000-000;105-070;1053;105-105;861;140-070;779;701
000-000-1462632237;000-000;105-105;811;000-105;759;140-070;755;852
000-000-1462632238;000-000;105-105;943;140-070;886;105-140;745;925
