docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
165-038-000-000-1463738480;000-000;135-025;894;150-025;673;158-013;646;2770
165-038-000-000-1463738490;000-000;135-025;825;150-025;748;113-013;697;2788
165-038-000-000-1463738500;000-000;158-013;762;135-025;731;180-050;678;3228
165-038-000-000-1463738510;000-000;135-025;802;113-013;730;180-050;682;3157
165-038-000-000-1463738520;000-000;135-025;864;180-050;673;158-013;639;2863
165-038-000-000-1463738530;000-000;135-025;837;180-050;705;150-025;625;2635
165-038-000-000-1463738540;000-000;135-025;824;150-025;707;158-013;697;3464
165-038-000-000-1463738550;000-000;135-025;860;158-038;662;150-025;650;3069
165-038-000-000-1463738560;000-000;135-025;866;113-013;707;075-050;686;2939
165-038-000-000-1463738570;000-000;135-025;853;158-013;693;143-038;650;3448
165-038-000-000-1463738580;000-000;135-025;966;150-025;687;180-050;643;2647
165-038-000-000-1463738590;000-000;135-025;919;150-025;681;158-013;647;2783
165-038-000-000-1463738600;000-000;135-025;816;113-013;724;180-050;672;2446
165-038-000-000-1463738610;000-000;135-025;867;158-013;706;143-038;684;3309
165-038-000-000-1463738620;000-000;135-025;923;150-025;648;180-050;642;2929
165-038-000-000-1463738630;000-000;180-050;793;135-025;765;113-013;649;2389
165-038-000-000-1463738640;000-000;135-025;816;180-050;708;150-025;701;2386
165-038-000-000-1463738650;000-000;135-025;815;150-100;732;180-050;661;3004
165-038-000-000-1463738660;000-000;135-025;897;150-025;655;105-050;641;3019
165-038-000-000-1463738670;000-000;180-050;779;135-025;774;150-100;629;2507
165-038-000-000-1463738680;000-000;135-025;821;128-038;688;128-013;647;3157
165-038-000-000-1463738690;000-000;135-025;831;158-013;712;150-100;712;3304
165-038-000-000-1463738700;000-000;135-025;956;150-025;667;158-038;664;2773
165-038-000-000-1463738710;000-000;135-025;791;158-013;724;150-025;684;3072
165-038-000-000-1463738720;000-000;135-025;820;158-013;690;113-013;657;3160
165-038-000-000-1463738730;000-000;135-025;850;113-013;700;075-050;654;3237
165-038-000-000-1463738740;000-000;135-025;755;180-050;673;158-013;662;3241
165-038-000-000-1463738750;000-000;135-025;884;180-050;682;150-025;673;2869
165-038-000-000-1463738760;000-000;135-025;743;075-050;725;113-013;666;2987
165-038-000-000-1463738770;000-000;135-025;835;150-025;723;180-025;667;3146
165-038-000-000-1463738780;000-000;135-025;839;158-013;648;180-050;647;3244
165-038-000-000-1463738790;000-000;135-025;749;158-013;701;165-025;699;3221
165-038-000-000-1463738800;000-000;135-025;865;150-025;763;158-013;670;3132
165-038-000-000-1463738810;000-000;135-025;803;158-013;679;128-013;669;2923
165-038-000-000-1463738820;000-000;135-025;832;180-050;678;158-013;670;2853
165-038-000-000-1463738830;000-000;135-025;877;143-038;626;150-025;623;2640
165-038-000-000-1463738840;000-000;135-025;735;180-050;683;113-013;678;2784
165-038-000-000-1463738850;000-000;135-025;805;158-013;690;158-038;665;3310
165-038-000-000-1463738860;000-000;135-025;887;090-025;674;075-050;631;3019
165-038-000-000-1463738870;000-000;135-025;931;150-025;697;158-013;646;2979
165-038-000-000-1463738880;000-000;135-025;866;075-050;683;158-038;667;2563
165-038-000-000-1463738890;000-000;135-025;831;075-050;694;180-050;629;3016
165-038-000-000-1463738900;000-000;135-025;738;143-013;657;165-025;654;3161
165-038-000-000-1463738910;000-000;135-025;835;113-013;684;075-050;654;3320
165-038-000-000-1463738920;000-000;135-025;838;158-013;699;150-025;645;3472
165-038-000-000-1463738930;000-000;135-025;790;128-038;692;158-038;658;3467
165-038-000-000-1463738940;000-000;135-025;857;180-050;624;128-013;600;2730
165-038-000-000-1463738950;000-000;135-025;907;150-025;758;158-038;723;2910
165-038-000-000-1463738960;000-000;135-025;943;150-025;720;143-038;625;3005
165-038-000-000-1463738970;000-000;135-025;936;075-050;692;158-013;636;2635
165-038-000-000-1463738980;000-000;135-025;759;075-050;638;180-050;632;3086
165-038-000-000-1463738990;000-000;135-025;816;158-013;675;113-013;662;3624
165-038-000-000-1463739000;000-000;135-025;961;113-038;890;090-100;794;1451
135-038-000-000-1463738340;000-000;135-025;867;150-025;705;180-025;622;3072
135-038-000-000-1463738350;000-000;135-025;745;150-100;696;150-025;665;3620
135-038-000-000-1463738360;000-000;135-025;823;158-013;685;150-025;685;3465
135-038-000-000-1463738370;000-000;135-025;832;158-013;665;098-013;643;3071
135-038-000-000-1463738380;000-000;135-025;780;165-050;719;158-013;703;3139
135-038-000-000-1463738390;000-000;135-025;879;150-025;762;098-013;692;2633
135-038-000-000-1463738400;000-000;135-025;869;113-013;733;150-025;733;2368
135-038-000-000-1463738410;000-000;135-025;866;165-050;766;150-025;737;3298
135-038-000-000-1463738420;000-000;135-025;871;180-050;694;150-025;649;2861
135-038-000-000-1463738430;000-000;135-025;856;150-025;743;165-050;725;3303
135-038-000-000-1463738440;000-000;135-025;752;150-025;629;158-013;625;3463
135-038-000-000-1463738450;000-000;135-025;817;150-025;757;180-050;651;2842
135-038-000-000-1463738460;000-000;135-025;804;113-013;715;090-025;696;3306
135-038-000-000-1463738470;000-000;135-025;854;150-025;706;165-050;701;3465
135-038-000-000-1463738480;000-000;135-025;842;150-025;664;090-025;638;3473
135-038-000-000-1463738490;000-000;135-025;806;150-025;703;158-038;623;3071
135-038-000-000-1463738500;000-000;135-025;846;180-050;765;150-025;708;2861
135-038-000-000-1463738510;000-000;135-025;868;150-025;695;090-025;691;3237
135-038-000-000-1463738520;000-000;135-025;874;090-025;703;150-025;616;3166
135-038-000-000-1463738530;000-000;135-025;810;165-050;673;180-050;666;3300
135-038-000-000-1463738540;000-000;135-025;791;165-050;747;150-025;726;2994
135-038-000-000-1463738550;000-000;135-025;898;180-050;764;150-025;728;2644
135-038-000-000-1463738560;000-000;135-025;760;150-025;733;165-050;648;3223
135-038-000-000-1463738570;000-000;135-025;834;165-050;755;150-025;731;3382
135-038-000-000-1463738580;000-000;135-025;817;150-025;781;165-050;667;2547
135-038-000-000-1463738590;000-000;135-025;766;165-050;762;150-025;714;3371
135-038-000-000-1463738600;000-000;135-025;840;165-050;748;150-025;727;3539
135-038-000-000-1463738610;000-000;135-025;863;150-025;724;165-050;709;3151
135-038-000-000-1463738620;000-000;135-025;855;150-025;705;143-038;669;3151
135-038-000-000-1463738630;000-000;135-025;795;150-025;784;180-025;688;3155
135-038-000-000-1463738640;000-000;135-025;859;150-025;666;180-050;657;3167
135-038-000-000-1463738650;000-000;135-025;896;150-025;809;165-050;665;2980
135-038-000-000-1463738660;000-000;135-025;807;150-025;726;180-050;684;2800
135-038-000-000-1463738670;000-000;135-025;890;150-025;722;113-013;664;2865
135-038-000-000-1463738680;000-000;135-025;751;143-038;685;158-013;644;3616
135-038-000-000-1463738690;000-000;135-025;809;180-050;680;150-025;664;3089
135-038-000-000-1463738700;000-000;135-025;896;128-038;662;158-038;661;3227
135-038-000-000-1463738710;000-000;135-025;887;180-050;702;150-025;699;2582
135-038-000-000-1463738720;000-000;135-025;781;143-038;764;158-013;712;3447
135-038-000-000-1463738730;000-000;165-050;769;135-025;748;150-025;720;3539
135-038-000-000-1463738740;000-000;135-025;945;150-025;768;113-013;676;3016
135-038-000-000-1463738750;000-000;135-025;781;183-038;694;165-050;679;3456
135-038-000-000-1463738760;000-000;135-025;855;150-025;737;180-050;651;3078
135-038-000-000-1463738770;000-000;135-025;855;150-025;662;158-013;637;3468
135-038-000-000-1463738780;000-000;135-025;830;150-025;728;165-050;660;3072
135-038-000-000-1463738790;000-000;135-025;838;150-025;679;158-038;671;2914
135-038-000-000-1463738800;000-000;135-025;974;150-025;817;113-013;640;2859
135-038-000-000-1463738810;000-000;135-025;958;150-025;676;180-050;668;2868
135-038-000-000-1463738820;000-000;090-025;749;150-025;735;135-025;733;3002
135-038-000-000-1463738830;000-000;135-025;779;158-013;714;165-050;690;3785
135-038-000-000-1463738840;000-000;135-025;873;150-025;719;090-025;668;3087
135-038-000-000-1463738850;000-000;135-025;858;150-025;752;165-050;740;2916
135-038-000-000-1463738860;000-000;135-025;812;150-025;747;165-050;677;3227
135-038-000-000-1463738870;000-000;135-025;960;150-025;727;105-050;668;2866
135-038-000-000-1463738880;000-000;135-025;840;150-025;705;165-050;656;3304
135-038-000-000-1463738890;000-000;135-025;924;150-025;840;180-050;726;2574
135-038-000-000-1463738900;000-000;135-025;868;090-025;710;113-013;709;3151
135-038-000-000-1463738910;000-000;135-025;800;150-025;733;113-013;669;2851
135-038-000-000-1463738920;000-000;135-025;769;165-050;740;150-025;732;3381
135-038-000-000-1463738930;000-000;135-025;706;090-025;704;150-100;684;3301
135-038-000-000-1463738940;000-000;135-025;764;150-025;725;158-013;698;3144
135-038-000-000-1463738950;000-000;135-025;838;150-025;712;165-050;640;3074
135-038-000-000-1463738960;000-000;135-025;813;150-025;679;165-050;627;3313
135-038-000-000-1463738970;000-000;135-025;820;150-025;803;113-013;629;2645
135-038-000-000-1463738980;000-000;135-025;849;150-025;786;180-050;694;2781
135-038-000-000-1463738990;000-000;135-025;861;150-025;764;158-013;689;3066
135-038-000-000-1463739000;000-000;135-025;932;075-050;739;098-013;648;597
105-038-000-000-1463738340;000-000;135-025;758;075-025;713;075-050;646;3551
105-038-000-000-1463738350;000-000;053-013;779;098-038;706;135-025;668;4487
105-038-000-000-1463738360;000-000;075-025;963;135-025;671;105-025;666;3789
105-038-000-000-1463738370;000-000;135-025;775;075-025;719;060-050;670;3517
105-038-000-000-1463738380;000-000;105-025;834;135-025;754;075-025;675;3707
105-038-000-000-1463738390;000-000;120-050;750;135-025;657;090-025;620;3554
105-038-000-000-1463738400;000-000;135-025;761;105-025;760;075-025;620;3549
105-038-000-000-1463738410;000-000;135-025;830;113-038;701;105-025;691;3709
105-038-000-000-1463738420;000-000;135-025;768;105-025;689;090-025;675;3720
105-038-000-000-1463738430;000-000;135-025;734;120-050;696;113-038;690;4046
105-038-000-000-1463738440;000-000;135-025;798;120-050;705;113-038;678;3785
105-038-000-000-1463738450;000-000;135-025;752;075-025;739;105-025;733;3793
105-038-000-000-1463738460;000-000;090-025;679;135-025;678;105-025;667;3882
105-038-000-000-1463738470;000-000;075-025;805;105-025;796;135-025;756;3624
105-038-000-000-1463738480;000-000;053-013;817;135-025;747;120-050;714;3692
105-038-000-000-1463738490;000-000;135-025;842;120-050;749;113-038;659;3797
105-038-000-000-1463738500;000-000;053-013;778;135-025;764;075-025;763;3623
105-038-000-000-1463738510;000-000;135-025;813;105-050;620;128-013;617;3090
