docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
165-038-000-000-1463738670;000-000;180-050;807;135-025;662;180-025;657;1260
165-038-000-000-1463738680;000-000;135-025;703;105-050;662;128-013;659;1520
165-038-000-000-1463738690;000-000;150-100;760;135-025;731;158-038;629;1570
165-038-000-000-1463738700;000-000;135-025;800;158-038;660;120-025;627;1408
165-038-000-000-1463738710;000-000;135-025;708;128-013;651;180-025;632;1415
165-038-000-000-1463738720;000-000;135-025;735;180-050;699;143-013;671;1626
165-038-000-000-1463738730;000-000;135-025;759;165-025;703;113-013;663;1572
165-038-000-000-1463738740;000-000;135-025;708;165-025;675;120-025;626;1629
165-038-000-000-1463738750;000-000;135-025;740;180-050;722;180-025;649;1519
165-038-000-000-1463738760;000-000;165-025;743;135-050;695;075-050;655;1562
165-038-000-000-1463738770;000-000;120-025;762;165-025;760;135-025;696;1621
165-038-000-000-1463738780;000-000;135-025;750;158-038;658;120-025;650;1573
165-038-000-000-1463738790;000-000;165-025;765;150-100;694;180-025;672;1677
165-038-000-000-1463738800;000-000;135-025;760;180-025;676;143-013;652;1562
165-038-000-000-1463738810;000-000;165-025;726;135-025;718;128-013;664;1462
165-038-000-000-1463738820;000-000;180-050;728;165-025;706;135-025;685;1407
165-038-000-000-1463738830;000-000;135-025;693;143-038;684;105-050;666;1459
165-038-000-000-1463738840;000-000;165-025;664;180-050;647;135-025;640;1360
165-038-000-000-1463738850;000-000;135-025;731;120-025;649;158-013;642;1570
165-038-000-000-1463738860;000-000;135-025;730;128-013;683;165-025;644;1522
165-038-000-000-1463738870;000-000;135-025;808;150-025;656;180-025;614;1356
165-038-000-000-1463738880;000-000;135-025;742;158-038;692;075-050;631;1355
165-038-000-000-1463738890;000-000;135-025;722;180-050;649;165-025;647;1573
165-038-000-000-1463738900;000-000;135-025;695;165-025;681;143-013;673;1629
165-038-000-000-1463738910;000-000;135-025;754;143-013;653;143-038;639;1795
165-038-000-000-1463738920;000-000;165-025;775;135-025;725;180-025;673;1626
165-038-000-000-1463738930;000-000;150-100;724;128-038;709;090-100;670;1735
165-038-000-000-1463738940;000-000;180-050;742;135-025;718;165-025;666;1465
165-038-000-000-1463738950;000-000;135-025;751;158-038;748;150-025;646;1511
