docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
X21-135-000-1463737120;135-000;135-000;832;150-000;674;165-025;663;2070
MB17-090-050-1463733950;090-050;090-050;1347;083-038;665;128-038;641;2359
B104-120-050-1463734310;120-050;120-050;855;143-013;656;135-025;624;1850
B102-143-013-1463737060;143-013;180-025;699;143-013;683;183-013;661;1615
B14-000-100-1463734630;000-100;000-100;1402;173-013;640;128-013;637;1949
B105-060-050-1463734340;060-050;060-050;719;098-013;666;075-050;649;1571
B14-000-100-1463734280;000-100;000-100;1407;173-013;631;128-013;628;1901
X4-075-025-1463736430;075-025;075-025;827;053-013;693;068-013;687;2025
B105-098-038-1463737620;098-038;105-075;882;098-038;753;090-100;726;2347
X25-015-075-1463734310;015-075;015-075;1214;000-050;751;038-038;636;2023
X3-105-025-1463736540;105-025;105-025;1003;075-050;656;120-050;633;1792
B11-180-000-1463733900;180-000;180-000;1486;128-013;635;113-013;619;2544
X4-075-025-1463734660;075-025;075-025;872;090-025;721;075-050;708;1514
B11-180-000-1463734620;180-000;180-000;1468;098-013;662;083-038;651;2615
X22-105-000-1463736450;105-000;105-000;867;083-013;713;113-013;644;2211
B106-000-050-1463734590;000-050;000-050;1104;015-050;716;038-038;636;1255
X7-183-038-1463737440;183-038;183-038;904;165-025;666;158-013;661;1961
X20-165-075-1463735080;165-075;165-075;1730;150-100;740;180-100;664;2130
B102-143-038-1463737750;143-038;128-038;718;150-100;711;158-013;675;2018
X4-075-025-1463737010;075-025;075-025;944;038-013;690;060-050;660;1847
B106-083-013-1463736410;083-013;083-013;899;098-038;742;098-013;701;1970
X23-075-000-1463736500;075-000;075-000;866;090-025;655;038-013;646;1843
B105-098-038-1463737850;098-038;098-038;755;083-013;663;090-025;661;1797
X5-045-025-1463734660;045-025;045-025;700;045-050;691;098-013;688;1738
X3-120-025-1463738030;120-025;105-025;763;083-013;727;120-025;725;1910
MB17-090-050-1463736790;090-050;090-050;1397;098-013;640;180-025;637;2225
B104-113-013-1463736530;113-013;113-013;900;090-025;688;128-013;678;1516
X21-135-050-1463737830;135-050;105-025;815;135-050;700;120-050;698;2154
B105-098-013-1463736850;098-013;098-013;695;090-025;677;075-050;664;1629
B105-098-013-1463736640;098-013;098-013;804;105-025;656;105-050;655;1467
B106-083-013-1463736930;083-013;098-038;673;090-025;664;098-013;661;1915
B14-000-100-1463737070;000-100;000-100;1459;143-013;625;173-013;625;1779
B100-150-000-1463733800;150-000;150-000;1472;165-000;663;120-050;655;2803
X24-045-075-1463733790;045-075;045-075;1001;030-100;678;098-013;651;1678
X8-023-013-1463736700;023-013;023-013;827;030-025;752;045-050;731;1620
MB508-030-050-1463734720;030-050;030-050;1414;045-050;643;090-025;639;2420
X23-075-050-1463737590;075-050;075-050;772;105-050;715;090-025;665;1174
X7-183-013-1463736550;183-013;183-013;852;180-025;685;165-025;674;1512
MB276-150-050-1463734880;150-050;150-050;1426;150-100;664;038-013;637;2763
MB276-150-050-1463737740;150-050;150-050;1397;128-038;693;120-050;664;2911
B17-060-000-1463734750;060-000;060-000;1339;045-075;738;105-025;697;3217
MB276-150-050-1463734110;150-050;150-050;1407;183-038;681;150-100;651;2834
B103-128-038-1463738120;128-038;128-038;878;150-100;871;090-100;660;1736
B11-180-000-1463733820;180-000;180-000;1505;113-013;634;180-025;628;2473
B102-143-038-1463737590;143-038;150-100;827;158-038;743;180-050;673;1786
X3-105-025-1463734040;105-025;105-025;980;120-050;863;105-000;686;2153
B105-098-038-1463737700;098-038;098-038;885;090-100;708;090-025;688;2087
B11-180-000-1463736430;180-000;180-000;1500;173-013;630;128-013;630;2477
MB315-120-100-1463736450;120-100;120-100;1427;180-100;637;150-100;635;1954
X21-135-050-1463737630;135-050;135-050;738;128-038;687;113-038;661;2281
X24-045-000-1463736950;045-000;045-000;916;075-000;672;038-013;667;1956
B109-030-100-1463734050;030-100;030-100;1116;015-050;625;045-050;618;1212
B103-128-013-1463737070;128-013;128-013;726;113-013;670;105-050;650;1467
B109-038-038-1463737820;038-038;030-025;712;038-038;709;098-013;637;1465
B109-030-100-1463734570;030-100;030-100;970;060-050;639;090-025;609;1411
B107-150-100-1463734130;150-100;150-100;1114;158-038;605;158-013;583;1357
B109-038-038-1463737640;038-038;045-050;733;038-038;706;030-025;679;1570
X20-165-075-1463734460;165-075;165-075;1138;150-100;811;128-038;732;1951
X2-135-025-1463734660;135-025;135-025;764;090-025;700;105-050;687;1320
B101-158-038-1463738090;158-038;158-038;741;173-038;663;158-013;651;1609
MB276-150-050-1463737020;150-050;150-050;1426;150-100;664;038-013;637;2763
B106-000-050-1463734520;000-050;000-050;1089;015-050;671;045-050;668;1398
B103-180-050-1463734970;180-050;180-050;788;180-025;656;135-025;609;1034
MB276-150-050-1463737720;150-050;150-050;1376;128-038;675;120-050;649;2907
B103-128-038-1463737740;128-038;128-038;781;120-050;720;158-038;656;1786
X22-105-075-1463734710;105-075;105-075;1322;090-100;716;150-100;692;2352
B16-120-000-1463737720;120-000;120-000;1355;083-013;672;128-038;660;3221
B14-000-100-1463734420;000-100;000-100;1453;038-038;638;180-025;626;1780
B103-128-038-1463738150;128-038;128-038;863;150-100;793;120-050;709;1907
B102-030-000-1463734170;030-000;030-000;1537;083-013;690;045-000;665;2597
B105-098-038-1463737760;098-038;098-038;885;068-038;862;090-100;712;2092
X23-075-000-1463736980;075-000;075-000;781;105-025;747;128-013;648;1968
X5-090-025-1463737500;090-025;090-025;728;030-025;676;038-013;662;1465
X25-015-075-1463733940;015-075;015-075;1695;045-075;780;000-050;684;2022
X24-045-000-1463736820;045-000;045-000;1175;075-025;662;038-013;653;2072
X25-015-075-1463734390;015-075;015-075;1463;030-100;724;000-050;670;1900
X8-023-013-1463736820;023-013;023-013;811;053-038;676;045-025;672;1736
X23-075-075-1463734410;075-075;075-075;1109;098-013;692;030-100;654;1624
X5-090-025-1463737610;090-025;090-025;800;053-013;696;045-050;645;1462
X1-180-025-1463737450;180-025;173-013;721;165-025;710;180-025;701;1783
MB508-030-050-1463738080;030-050;030-050;1383;075-075;696;098-013;636;2491
B14-000-100-1463733830;000-100;000-100;1441;030-100;650;128-013;636;1780
B11-180-000-1463737750;180-000;180-000;1500;173-013;630;128-013;630;2477
X21-135-075-1463735010;135-075;135-075;1335;128-038;775;120-050;671;2400
X7-183-013-1463736930;183-013;183-013;957;180-025;670;150-025;659;1302
MB276-150-050-1463733920;150-050;150-050;1407;183-038;690;173-038;651;2836
X4-075-025-1463736570;075-025;075-025;917;068-013;770;090-025;655;1843
B107-068-038-1463737810;068-038;068-038;1015;023-038;780;053-038;717;2152
X7-183-013-1463737020;183-013;183-013;859;165-025;715;180-025;675;1406
B108-053-038-1463737730;053-038;023-038;825;053-038;808;098-013;696;1908
B103-180-050-1463734230;180-050;180-050;819;150-100;680;158-038;671;1308
B17-060-000-1463738190;060-000;060-000;1350;023-038;701;083-013;677;3308
X2-135-025-1463734090;135-025;128-013;739;135-025;716;113-013;633;1521
B102-030-000-1463734220;030-000;030-000;1471;023-038;846;045-025;703;2742
X25-015-075-1463733970;015-075;015-075;1230;000-050;838;038-038;651;1786
X6-015-025-1463734300;015-025;015-025;988;030-025;667;015-050;654;1033
B108-053-013-1463736840;053-013;053-013;921;045-025;674;105-025;664;1850
MB315-120-100-1463733920;120-100;120-100;1433;150-100;653;180-100;645;1893
B107-068-013-1463737080;068-013;075-025;861;068-013;818;053-013;667;1905
X4-075-025-1463734190;075-025;075-025;879;023-038;647;045-050;628;1565
MB276-150-050-1463737490;150-050;150-050;1411;183-038;674;150-100;650;2835
X1-180-025-1463737920;180-025;165-025;808;180-025;751;180-050;690;1507
X25-015-050-1463737470;015-050;015-050;860;015-025;721;045-050;630;1170
B108-090-100-1463735000;090-100;090-100;942;128-038;670;090-025;609;1685
X23-075-075-1463734500;075-075;075-075;1110;060-050;672;045-050;644;1728
X3-105-025-1463736990;105-025;105-025;1107;120-025;694;083-013;631;1899
X1-165-025-1463736460;165-025;165-025;848;173-013;645;180-025;635;1659
B11-180-000-1463734950;180-000;180-000;1460;098-013;668;083-038;656;2614
B11-180-000-1463736540;180-000;180-000;1537;113-013;680;180-025;651;2139
X4-075-025-1463737120;075-025;075-025;783;075-050;673;038-013;658;1796
MB508-030-050-1463736460;030-050;030-050;1324;023-038;724;068-038;681;2702
B108-090-100-1463733890;090-100;075-050;693;098-013;663;090-100;642;1473
MB291-180-100-1463734220;180-100;180-100;1474;000-100;629;015-050;619;1492
MB315-120-100-1463737930;120-100;120-100;1420;105-050;630;150-100;627;1727
X20-165-075-1463735100;165-075;150-025;776;165-025;773;165-050;714;731
B108-090-100-1463734700;090-100;090-100;911;098-013;637;083-038;623;1684
B107-150-100-1463733830;150-100;150-100;1054;165-075;846;128-038;685;1504
MB315-120-100-1463736870;120-100;120-100;1469;098-013;644;128-013;640;1834
B11-180-000-1463738210;180-000;180-000;1453;183-038;652;173-013;626;2614
B106-000-050-1463734790;000-050;000-050;1048;023-038;813;015-050;664;1559
B17-060-000-1463736930;060-000;060-000;1362;045-000;681;075-075;672;3229
B106-083-013-1463736760;083-013;083-013;923;083-038;693;143-013;639;2090
MB291-180-100-1463738100;180-100;180-100;1474;000-100;641;038-038;634;1588
X25-015-075-1463734110;015-075;030-100;700;045-050;675;015-075;659;1787
X5-045-025-1463734990;045-025;045-025;772;023-013;713;030-025;678;1907
B104-113-038-1463737850;113-038;105-025;840;135-050;742;120-050;717;2089
X2-135-025-1463737030;135-025;135-025;725;075-050;666;105-050;619;1570
X22-105-075-1463734390;105-075;105-075;881;120-050;737;150-100;690;2350
B106-000-050-1463734330;000-050;000-050;953;015-050;678;023-013;656;1559
B105-060-050-1463734250;060-050;060-050;700;075-075;689;083-038;671;1796
X25-015-075-1463735080;015-075;015-075;1384;045-075;849;030-100;657;1905
