docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
X5-045-025-1463736660;045-025;053-013;746;090-100;699;105-025;691;659
MB291-180-100-1463737890;180-100;180-100;1406;053-013;670;105-050;657;943
B107-068-013-1463736700;068-013;083-013;726;045-025;680;053-013;679;591
X6-015-025-1463734680;015-025;015-025;952;015-050;677;053-013;670;405
B102-030-000-1463734200;030-000;030-000;1634;015-000;828;030-050;778;1021
B104-113-013-1463736370;113-013;135-025;700;113-013;687;143-013;681;529
MB508-030-050-1463737790;030-050;030-050;1085;053-013;696;015-050;664;715
B100-150-000-1463734630;150-000;150-000;1503;173-038;676;105-050;668;1300
MB508-030-050-1463734700;030-050;030-050;1190;015-050;706;053-013;692;652
B17-060-000-1463737770;060-000;060-000;1103;023-038;698;053-013;696;783
B102-143-038-1463737740;143-038;135-075;746;143-038;704;143-013;677;756
X21-135-000-1463737120;135-000;135-000;865;143-013;680;053-013;680;896
MB17-090-050-1463733950;090-050;053-013;724;090-100;719;105-025;699;567
B104-120-050-1463734310;120-050;143-013;716;135-025;699;113-038;674;614
B102-143-013-1463737060;143-013;143-013;692;150-025;686;180-025;679;624
B14-000-100-1463734630;000-100;000-100;1382;068-038;676;038-038;670;971
B105-060-050-1463734340;060-050;053-013;735;090-025;710;045-050;687;507
B14-000-100-1463734280;000-100;000-100;1337;105-050;673;053-013;666;1046
X4-075-025-1463736430;075-025;068-038;759;053-013;757;045-000;673;622
B105-098-038-1463737620;098-038;053-013;746;090-100;687;075-075;669;692
X25-015-075-1463734310;015-075;030-050;1034;053-013;673;015-050;666;750
X3-105-025-1463736540;105-025;090-100;756;053-013;727;105-025;691;568
B11-180-000-1463733900;180-000;180-000;1425;053-013;682;090-100;675;1330
X4-075-025-1463734660;075-025;075-025;745;053-013;727;105-050;707;426
B11-180-000-1463734620;180-000;180-000;1410;120-000;721;143-013;679;1328
X22-105-000-1463736450;105-000;083-013;722;143-013;689;105-000;688;684
B106-000-050-1463734590;000-050;000-050;1257;015-050;748;038-038;642;632
X7-183-038-1463737440;183-038;165-025;714;143-013;711;165-050;694;808
X20-165-075-1463735080;165-075;165-075;1711;143-038;681;053-013;663;868
B102-143-038-1463737750;143-038;143-013;722;143-038;694;135-050;677;703
